[USGS_LOC],SHEF_LOC,DSS_A-PART,DSS_B-PART,DSS_F-PART,CWMS_LOC,CWMS_VER,PARAMETERS
[02198000],02198000,BRIERCR,MILLHAVEN GA ,USGS,02198000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02198100],02198100,BRIERCR,SARDIS GA ,USGS,02198100,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02197830],02197830,BRIERCR,WAYNESBORO GA ,USGS,02197830,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02197598],02197598,BRIERCR,WRENS GA ,USGS,02197598,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02191300],02191300,BROAD, CARLTON GA ,USGS,02191300,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02192000],02192000,BROAD,BELL GA ,USGS,02192000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[022261794],022261794,CUMBERLAND,BRUNSWICK GA ,USGS,022261794,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[03550500],03550500,HIWASSEE,BLAIRSVILLE GA ,USGS,03550500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[03544970],03544970,HIWASSEE,HIAWASSEE GA ,USGS,03544970,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02215500],02215500,OCMULGEE,LUMBER CITY GA ,USGS,02215500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02213000],02213000,OCMULGEE,MACON GA ,USGS,02213000,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02213500],02213500,OCMULGEE,MACON GA ,USGS,02213500,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
[02217475],02217475,OCONEE,ARCADE GA ,USGS,02217475,Raw-USGS_SAS,"Elev-Pool,RelHumidity,Stage,Temp-Air,Temp-Water,Precip,Wind Dir,Wind Speed,Sp Cond,Flow,pH,Conc-Oxygen,Salinity"
